City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,turbat,26.0023,63.044,299.52,74,15,3.82,PK,1693776540
317,san francisco,37.7749,-122.4194,299.25,77,40,7.72,US,1693775884
318,langsa,4.4683,97.9683,296.97,97,100,1.5,ID,1693776541
319,hay river,60.8156,-115.7999,286.14,62,100,4.12,CA,1693776418
320,ouesso,1.6136,16.0517,294.38,98,90,1.27,CG,1693776542
321,bestobe,52.4994,73.0975,286.78,66,74,1.67,KZ,1693776542
322,sinnamary,5.3833,-52.95,301.06,72,96,5.58,GF,1693776542
323,pemangkat,1.1667,108.9667,298.91,86,40,3.96,ID,1693776543
324,vostok,46.4856,135.8833,286.11,84,30,1.43,RU,1693776543
325,pinos puente,37.2511,-3.7497,291.11,93,40,1.54,ES,1693776543
326,zhigansk,66.7697,123.3711,278.66,86,100,2.46,RU,1693775944
327,ponta delgada,37.7333,-25.6667,294.55,78,20,3.09,PT,1693775958
328,alofi,-19.0595,-169.9187,299.09,65,89,3.6,NU,1693776544
329,juba,4.8517,31.5825,298.42,61,80,0.8,SS,1693776544
330,price,39.5994,-110.8107,299.74,38,75,6.17,US,1693776544
331,tual,-5.6667,132.75,298.04,80,94,7.69,ID,1693775952
332,keita,14.7551,5.7749,304.16,51,3,3.46,NE,1693776544
333,gossaigaon,26.4481,89.989,300.11,84,100,1.52,IN,1693776544
334,pringsewu,-5.3582,104.9744,293.15,93,15,1.38,ID,1693776545
335,atikokan,48.7555,-91.6216,305.1,23,8,2.96,CA,1693776545
336,phalombe,-15.8064,35.6507,293.52,58,20,2.62,MW,1693776545
337,kikwit,-5.041,18.8162,298.91,61,81,1.68,CD,1693776545
338,bubaque,11.2833,-15.8333,300.39,81,96,5.01,GW,1693776334
339,isangel,-19.55,169.2667,296.58,79,83,4.22,VU,1693775946
340,narsaq,60.9167,-46.05,282.27,52,53,2.12,GL,1693776416
341,loznica,44.5342,19.2242,291.85,90,100,2.09,RS,1693776546
342,nam som,17.7704,102.1895,298.39,97,98,0.24,TH,1693776546
343,bossangoa,6.4926,17.4552,293.96,98,91,1.51,CF,1693776546
344,kichera,55.9375,110.0997,280.66,85,98,0.48,RU,1693776546
345,bethel,41.3712,-73.414,304.45,63,40,2.57,US,1693775945
346,aksarka,66.5606,67.7975,279.51,85,4,1.12,RU,1693776547
347,nelson bay,-32.7167,152.15,288.15,92,5,3.13,AU,1693776428
348,sriperumbudur,12.9689,79.9489,299.97,72,100,3.96,IN,1693776547
349,gravdal,68.1214,13.5031,285.09,94,40,5.14,NO,1693776547
350,peniche,39.3558,-9.3811,291.53,94,46,3.21,PT,1693776547
351,nampula,-15.1165,39.2666,293.12,94,75,1.03,MZ,1693776547
352,auki,-8.7676,160.7034,299.96,81,72,1.98,SB,1693775984
353,whyalla,-33.0333,137.5833,286.31,68,53,6.22,AU,1693776548
354,khovu-aksy,51.1333,93.6,282.37,68,42,1.01,RU,1693776548
355,bunol,39.4167,-0.7833,296.63,90,100,8.66,ES,1693776548
356,soyo,-6.1349,12.3689,295.52,89,60,3.56,AO,1693775988
357,mayo,38.8876,-76.5119,309.52,51,0,2.06,US,1693776408
358,tautira,-17.7333,-149.15,296.66,89,100,8.01,PF,1693775999
359,ciudad bolivar,8.1222,-63.5497,309.72,32,83,1.25,VE,1693776549
360,ghanzi,-21.5667,21.7833,295.63,15,10,3.7,BW,1693776549
361,zabaykalsk,49.6333,117.3167,279.15,88,42,2.42,RU,1693776550
362,el sauzal,31.9,-116.6833,295.05,78,45,5.08,MX,1693776550
363,bangui,4.3612,18.555,297.25,94,20,1.54,CF,1693776551
364,sosnovo-ozerskoye,52.5249,111.5418,274.75,93,0,1.47,RU,1693776551
365,chase,50.8165,-119.6857,296.53,40,100,2.19,CA,1693776551
366,lianzhou,24.7811,112.3825,296.11,93,100,1.66,CN,1693776551
367,chimbote,-9.0853,-78.5783,295.09,72,24,5.07,PE,1693776552
